Years,Imports,Exports,Balance,
1700,300000,180000,,
1701,,,,
1702,,,,
1703,,,,
1704,,,,
1705,,,,
1706,,,,
1707,,,,
1708,,,,
1709,,,,
1710,310000,200000,,
1711,,,,
1712,,,,
1713,,,,
1714,,,,
1715,,,,
1716,,,,
1717,,,,
1718,,,,
1719,,,,
1720,500000,210000,,
1721,,,,
1722,,,,
1723,,,,
1724,,,,
1725,,,,
1726,,,,
1727,,,,
1728,,,,
1729,,,,
1730,640000,380000,,
1731,,,,
1732,,,,
1733,,,,
1734,,,,
1735,,,,
1736,,,,
1737,,,,
1738,,,,
1739,,,,
1740,650000,500000,,
1741,,,,
1742,,,,
1743,,,,
1744,,,,
1745,,,,
1746,,,,
1747,,,,
1748,,,,
1749,,,,
1750,800000,950000,,
1751,,,,
1752,,,,
1753,,,,
1754,,,,
1755,,,,
1756,,,,
1757,,,,
1758,,,,
1759,,,,
1760,960000,1900000,,
1761,,,,
1762,,,,
1763,,,,
1764,,,,
1765,,,,
1766,,,,
1767,,,,
1768,,,,
1769,,,,
1770,1480000,4550000,3070000,
1771,1430000,4630000,3200000,
1772,1445000,3600000,2155000,
1773,1465000,2465000,1000000,
1774,1435000,3840000,2300000,
1775,2065000,985000,1080000,
1776,245000,1190000,945000,
1777,230000,1880000,1650000,
1778,265000,1150000,885000,
1779,295000,1370000,1075000,
1780,300000,1805000,1505000,
1781,385000,1545000,1160000,
1782,295000,905000,610000,
1783,,,,
1784,,,,
1785,,,,
1786,,,,
1787,,,,
1788,,,,
1789,,,,
1790,1800000,3900000,,
1791,,,,
1792,,,,
1793,,,,
1794,,,,
1795,,,,
1796,,,,
1797,,,,
1798,,,,
1799,,,,
1800,3300000,4900000,,
